date,reference,description,accountCode,debit,credit,narration
2026-03-02,JV-008,Expense EXP-000001 – office rent,5200,60000,0,"Rent expense for March (pre-opening)"
2026-03-02,JV-008,Expense EXP-000001 – office rent,1001,0,60000,"Cash paid for office rent EXP-000001"
2026-03-03,JV-009,Expense EXP-000002 – branding fee,5100,15000,0,"Professional fees for branding EXP-000002"
2026-03-03,JV-009,Expense EXP-000002 – branding fee,1002,0,15000,"Bank paid for branding EXP-000002"
2026-03-04,JV-010,Inventory purchase EXP-000003 (credit),1300,11000,0,"Inventory addition – 50 Graphic Tees @ 220"
2026-03-04,JV-010,Inventory purchase EXP-000003 (credit),2000,0,11000,"Payable for inventory purchase EXP-000003"
2026-03-05,JV-011,Inventory purchase EXP-000004 (credit),1300,21000,0,"Inventory addition – 30 Slim Fit Jeans @ 700"
2026-03-05,JV-011,Inventory purchase EXP-000004 (credit),2000,0,21000,"Payable for inventory purchase EXP-000004"
2026-03-06,JV-012,Expense EXP-000005 – utilities,5300,8000,0,"Electricity and utilities for March EXP-000005"
2026-03-06,JV-012,Expense EXP-000005 – utilities,1002,0,8000,"Bank paid for utilities EXP-000005"
2026-03-07,JV-013,Expense EXP-000006 – advertising,5400,12000,0,"Digital ads campaign EXP-000006"
2026-03-07,JV-013,Expense EXP-000006 – advertising,2000,0,12000,"Payable for advertising EXP-000006"
2026-03-08,JV-014,Inventory purchase EXP-000007 (cash with GST ITC),1300,15000,0,"Inventory addition – mixed stock EXP-000007"
2026-03-08,JV-014,Inventory purchase EXP-000007 (cash with GST ITC),1500,1800,0,"GST input credit on inventory EXP-000007"
2026-03-08,JV-014,Inventory purchase EXP-000007 (cash with GST ITC),1001,0,16800,"Cash paid for inventory purchase EXP-000007"
2026-03-09,JV-015,Expense EXP-000008 – consulting (with GST ITC),5100,10000,0,"Consulting fees EXP-000008"
2026-03-09,JV-015,Expense EXP-000008 – consulting (with GST ITC),1500,1800,0,"GST input credit on consulting EXP-000008"
2026-03-09,JV-015,Expense EXP-000008 – consulting (with GST ITC),1002,0,11800,"Bank paid for consulting EXP-000008"
